순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,연도,HR/AB,규정타석_충족,시즌진행중,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
37,강승호,두산,0.28,140,566,521,81,146,34,7,18,248,81,2,4,2023,0.0345,True,,59,97,124,0.78,9,0.2,3.78,0.196,78.9,0.267
38,최형우,KIA,0.28,116,487,425,67,119,23,2,22,212,109,0,5,2023,0.0518,True,,47,99,126,0.79,12,0.6,4.04,0.219,77.0,0.287
39,최지훈,SSG,0.275,125,543,483,89,133,22,7,11,202,49,6,2,2023,0.0228,True,,40,117,164,0.71,4,0.7,4.05,0.143,74.4,0.26
40,배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7,2023,0.0173,True,,33,86,100,0.86,3,0.44,4.0,0.119,59.5,0.258
41,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2,2023,0.0527,True,,48,103,100,1.03,7,0.49,3.96,0.211,79.4,0.285
42,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7,2023,0.0461,True,,42,107,104,1.03,4,0.49,4.04,0.189,69.5,0.272
43,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4,2023,0.0456,True,,46,114,144,0.79,6,0.47,3.99,0.183,86.2,0.274
44,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,2023,0.0459,True,,44,100,140,0.71,7,0.59,3.81,0.193,70.4,0.274
45,장성우,KT,0.268,131,489,418,53,112,19,0,19,188,81,2,8,2023,0.0455,True,,38,90,138,0.65,14,0.7,4.09,0.182,71.4,0.272
46,이주형,키움,0.266,115,537,473,82,126,19,3,13,190,60,0,1,2023,0.0275,True,,35,111,118,0.94,5,0.41,3.79,0.135,70.1,0.259
47,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9,2023,0.0124,True,,28,102,161,0.63,4,0.46,4.08,0.095,68.5,0.241
48,박승욱,롯데,0.262,139,468,405,57,106,19,1,7,148,53,3,3,2023,0.0173,True,,27,98,84,1.17,6,0.39,3.88,0.104,53.3,0.249
49,이재현,삼성,0.26,109,458,389,71,101,18,1,14,163,66,0,3,2023,0.036,True,,33,87,121,0.72,5,0.7,4.38,0.159,62.1,0.269
50,황재균,KT,0.26,137,536,493,60,128,22,0,13,189,58,5,2,2023,0.0264,True,,35,113,159,0.71,5,0.36,3.84,0.124,53.5,0.235
51,김휘집,NC,0.258,140,562,488,78,126,24,1,16,200,73,4,8,2023,0.0328,True,,41,91,160,0.57,8,0.44,4.14,0.152,68.3,0.254
52,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9,2023,0.027,True,,37,108,167,0.65,7,0.51,4.08,0.133,63.3,0.244
53,김영웅,삼성,0.252,126,509,456,65,115,16,3,28,221,79,1,4,2023,0.0614,True,,47,78,112,0.7,8,0.29,3.83,0.232,75.1,0.266
54,김주원,NC,0.252,134,475,385,61,97,18,2,9,146,49,9,5,2023,0.0234,True,,29,72,110,0.65,3,0.46,4.07,0.127,62.3,0.262
55,양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,2023,0.0638,True,,60,96,181,0.53,10,0.38,4.05,0.242,80.8,0.264
56,한유섬,SSG,0.235,132,523,464,64,109,29,0,24,210,87,1,3,2023,0.0517,True,,53,90,126,0.71,8,0.32,4.14,0.218,68.9,0.255
1,에레디아,SSG,0.36,136,591,541,82,195,31,1,21,291,118,0,9,2024,0.0388,True,,53,128,154,0.83,13,0.38,3.46,0.177,105.2,0.314
2,레이예스,롯데,0.352,144,632,574,88,202,40,3,15,293,111,0,11,2024,0.0261,True,,58,168,133,1.26,13,0.56,3.87,0.159,106.2,0.305
3,김도영,KIA,0.347,141,625,544,143,189,29,10,38,352,109,1,7,2024,0.0699,True,,77,101,151,0.67,15,0.6,3.81,0.3,138.2,0.351
4,구자욱,삼성,0.343,129,568,493,92,169,39,1,33,309,115,2,6,2024,0.0669,True,,73,128,129,0.99,12,0.75,3.8,0.284,118.5,0.344
5,송성문,키움,0.34,142,602,527,88,179,29,4,19,273,104,0,8,2024,0.0361,True,,52,136,138,0.99,11,0.78,3.88,0.178,111.4,0.314
6,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4,2024,0.0095,True,,26,159,100,1.59,6,1.03,4.14,0.074,99.5,0.304
7,로하스,KT,0.329,144,670,572,108,188,39,1,32,325,112,0,4,2024,0.0559,True,,72,112,161,0.7,12,0.77,4.0,0.24,126.7,0.331
8,김선빈,KIA,0.329,116,466,423,48,139,23,0,9,189,57,7,0,2024,0.0213,True,,32,139,106,1.31,4,0.77,3.8,0.118,65.1,0.283
9,박민우,NC,0.328,121,528,457,75,150,26,2,8,204,50,4,4,2024,0.0175,True,,36,106,126,0.84,3,0.68,3.9,0.118,85.4,0.294
10,김혜성,키움,0.326,127,567,509,90,166,26,4,11,233,75,0,7,2024,0.0216,True,,41,132,156,0.85,9,0.76,3.82,0.132,90.9,0.287
11,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13,2024,0.0607,True,,67,100,190,0.53,14,0.74,3.78,0.254,112.1,0.316
12,김지찬,삼성,0.316,135,535,453,102,143,16,3,3,174,36,12,1,2024,0.0066,True,,22,153,118,1.3,3,1.5,3.78,0.068,79.8,0.278
13,양의지,두산,0.314,119,485,430,57,135,18,1,17,206,94,0,6,2024,0.0395,True,,36,96,149,0.64,15,0.71,3.71,0.165,74.6,0.29
14,나승엽,롯데,0.312,121,489,407,59,127,35,4,7,191,66,2,7,2024,0.0172,True,,46,88,116,0.76,5,0.83,4.05,0.157,80.2,0.302
15,소크라테스,KIA,0.31,140,602,552,92,171,30,3,26,285,97,0,5,2024,0.0471,True,,59,125,170,0.74,9,0.45,3.66,0.207,98.1,0.291
16,허경민,두산,0.309,115,477,417,69,129,28,0,7,178,61,0,6,2024,0.0168,True,,35,125,144,0.87,4,1.44,3.69,0.118,69.3,0.28
17,고승민,롯데,0.308,120,532,481,79,148,27,6,14,229,87,1,8,2024,0.0291,True,,47,124,139,0.89,6,0.53,3.85,0.168,78.9,0.28
18,박찬호,KIA,0.307,134,577,515,86,158,24,1,5,199,61,7,6,2024,0.0097,True,,30,165,154,1.07,7,1.09,3.76,0.08,72.2,0.26
19,데이비슨,NC,0.306,131,567,504,90,154,25,1,46,319,119,0,7,2024,0.0913,True,,72,83,132,0.63,9,0.27,3.78,0.327,110.1,0.325
20,강민호,삼성,0.303,136,452,403,48,122,19,1,19,200,77,0,6,2024,0.0471,True,,39,124,111,1.12,9,0.67,3.46,0.194,68.8,0.288
21,박성한,SSG,0.301,137,564,489,78,147,24,0,10,201,67,3,6,2024,0.0204,True,,34,139,123,1.13,5,0.74,4.23,0.11,78.5,0.274
22,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13,2024,0.0424,True,,60,125,139,0.9,7,0.58,4.04,0.206,96.0,0.294
23,권희동,NC,0.3,123,511,416,66,125,22,1,13,188,77,2,6,2024,0.0312,True,,36,113,121,0.93,8,1.22,4.54,0.151,82.2,0.301
24,안치홍,한화,0.3,128,533,473,64,142,21,0,13,202,66,1,4,2024,0.0275,True,,34,118,147,0.8,8,0.7,3.91,0.127,73.8,0.273
25,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,2024,0.0,True,,17,145,83,1.75,3,1.36,3.73,0.059,63.0,0.27
26,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9,2024,0.0155,True,,46,125,173,0.72,10,0.62,3.73,0.124,78.4,0.265
